Grid_Cell,Year,Albedo,Conflict,Evap_mm,Humidity,NDVI,PET_mm,Rain_mm,Runoff_mm,SensHeat_Wm2,SoilM_mm,Temp_C,Wind_ms
Grid_Cell_10,2010,0.14263485,0,466.37952,0.00685776,0.21632925,2609.0903,511.99347,0.002268527,32.651745,248.4153,14.023127,4.9575715
Grid_Cell_10,2011,0.14233336,0,509.92838,0.006188203,0.25365004,2719.3984,511.21365,0.001316158,31.519373,246.05481,12.297815,5.0471315
Grid_Cell_10,2012,0.1703906,0,424.70306,0.006564553,0.12687072,2929.5142,427.12216,0.005096988,37.9948,220.89763,13.380579,5.353627
Grid_Cell_10,2013,0.14737451,0,440.27893,0.0061744,0.051419273,2842.39,421.40088,0.000867,33.128155,209.44792,13.510309,5.1941314
Grid_Cell_10,2014,0.14009283,0,372.6044,0.006117078,0.048288044,3140.574,362.61325,0.00064,37.122135,183.74286,13.342676,5.8346124
Grid_Cell_10,2015,0.13925,0,372.75357,0.006058177,0.061521538,3119.7905,368.22708,0.000569,38.92098,188.95195,13.80752,5.444588
Grid_Cell_10,2016,0.14280765,0,373.26047,0.006435196,0.026724791,2945.3064,361.30692,0.001391919,42.42983,192.51945,13.532618,5.25074
Grid_Cell_10,2017,0.13066794,0,268.3006,0.006202431,0.045017615,3173.6523,235.65492,0.00047,50.17658,156.70218,13.723658,5.443065
Grid_Cell_10,2018,0.1355099,263,235.10454,0.005997925,0.05953684,3319.8816,214.6554,0.000241,57.176994,131.69179,13.748865,5.5524464
Grid_Cell_10,2019,0.121725775,70,259.18335,0.006506865,0.039022706,2981.3298,237.79657,0.000432,57.133884,130.10017,13.930994,5.1650143
Grid_Cell_10,2020,0.1259409,75,355.36993,0.006428135,0.04280499,3139.9922,363.4707,0.000925,49.518307,178.83736,13.824793,5.8326845
Grid_Cell_10,2021,0.13609137,161,424.58563,0.006810444,0.042912267,2886.3354,450.4183,0.000847,42.291317,193.72264,13.7711735,5.5650434
Grid_Cell_10,2022,0.13494572,449,473.47046,0.006665972,0.06782197,3004.4097,525.0139,0.001599216,39.41426,217.8068,13.701899,5.8250647
