Grid_Cell,Year,Albedo,Conflict,Evap_mm,Humidity,NDVI,PET_mm,Rain_mm,Runoff_mm,SensHeat_Wm2,SoilM_mm,Temp_C,Wind_ms
Grid_Cell_10,2009,0.15221643,163,866.06006,0.01036307,0.27321488,3751.041,950.81903,0.005200969,59.222767,307.00592,26.582453,2.3894477
Grid_Cell_10,2010,0.15221588,329,897.72394,0.010178061,0.29384804,3834.7136,1073.4271,0.013451627,59.186726,319.1128,26.484339,2.4458933
Grid_Cell_10,2011,0.15221643,283,896.3038,0.009363949,0.19361857,3989.4487,982.34424,0.011779603,60.00206,311.86862,26.33932,2.616926
Grid_Cell_10,2012,0.152247,691,934.8119,0.009907289,0.24387054,3763.9626,1349.7483,0.03130329,55.430233,326.78406,26.511255,2.5994604
Grid_Cell_10,2013,0.15221643,739,965.5174,0.009379204,0.057544287,3856.7393,1097.739,0.017075349,53.41038,316.711,27.351587,2.410467
Grid_Cell_10,2014,0.15221639,959,973.4095,0.009551982,0.064306684,3923.6553,1106.932,0.017862787,54.426807,313.3472,27.229609,2.5085504
Grid_Cell_10,2015,0.15221643,955,883.34625,0.009350109,0.06262089,4190.9824,968.9738,0.011897774,64.59967,307.3883,26.263086,2.8589375
Grid_Cell_10,2016,0.15224726,792,875.313,0.009679294,0.06314314,4011.6135,994.0011,0.014068552,59.654797,303.83072,26.705256,2.7627962
Grid_Cell_10,2017,0.15221643,952,807.5241,0.009050253,0.06527108,4196.926,922.1656,0.013002322,63.387966,280.80182,26.930689,3.0101883
Grid_Cell_10,2018,0.15221643,1402,819.7539,0.009394962,0.06370416,4220.864,1355.1688,0.060386337,67.88862,289.97662,27.595606,3.0642958
Grid_Cell_10,2019,0.15221643,1634,818.33716,0.009850033,0.06456299,4072.4504,1155.5989,0.022009483,67.44972,302.77347,26.842035,3.1726513
Grid_Cell_10,2020,0.15224725,2854,871.86346,0.009859019,0.06470246,4390.1885,1129.1493,0.03458993,64.0121,321.76105,25.92074,3.7266054
Grid_Cell_10,2021,0.15221643,3528,818.5977,0.009408738,0.06496865,4282.0835,933.94836,0.017680071,64.178276,307.16602,26.248407,3.4170299
Grid_Cell_10,2022,0.15221643,3730,872.6579,0.009287249,0.0639974,4108.0303,1281.8704,0.032452766,59.8568,318.87048,25.393274,3.4359207
Grid_Cell_10,2023,0.15221643,3549,925.574,0.009246415,0.066030234,4141.6694,1034.924,0.016810244,55.069447,316.29346,26.708735,3.2043033
Grid_Cell_10,2024,0.15224797,4400,927.81006,0.009626554,0.06718503,4186.0205,1100.0192,0.021832814,67.558784,311.53674,26.12536,3.3484817
Grid_Cell_10,2025,0.15221575,5521,857.07654,0.008870371,0.06614142,4111.306,1163.5604,0.02801478,62.73043,318.69446,26.65594,3.209591
Grid_Cell_100,2000,0.27528834,142,517.2131,0.005405743,0.23983672,4235.2437,476.22592,0.002490933,48.502674,106.62733,29.617853,2.6229718
Grid_Cell_100,2001,0.27521232,108,510.78177,0.008394443,0.27264622,3788.007,607.2408,0.004678185,53.274113,108.13498,28.353601,2.449513
Grid_Cell_100,2002,0.27521232,139,476.5779,0.007856499,0.27451223,4013.4265,465.32556,0.002352209,58.408825,104.47386,29.219294,2.3733714
Grid_Cell_100,2003,0.27521232,183,495.97385,0.009084232,0.31574297,3610.734,589.94995,0.004723189,54.64944,118.50167,28.60467,2.2959995
Grid_Cell_100,2004,0.2752937,202,493.38257,0.008526267,0.23710433,3807.238,527.9986,0.004171803,54.798794,114.47959,29.175165,2.3758628
Grid_Cell_100,2005,0.27521232,114,534.01184,0.009366,0.3299208,3777.723,630.6315,0.005986664,56.429314,123.57347,28.695795,2.4715362
Grid_Cell_100,2006,0.27521232,108,564.1658,0.008289102,0.121452965,4043.718,697.2059,0.008755401,50.055325,130.71927,28.819666,2.5202198
Grid_Cell_100,2007,0.27521232,184,548.16864,0.008312007,0.2845382,4163.253,639.81573,0.006161452,53.044094,134.35725,28.583887,2.6670275
Grid_Cell_100,2008,0.2752937,177,463.35123,0.008782061,0.30914184,3919.0276,599.1366,0.006930571,60.417217,121.66584,27.996058,2.6257145
Grid_Cell_100,2009,0.27521232,163,521.6588,0.008717574,0.35921484,4129.5444,522.8885,0.004212874,52.647026,110.182724,29.48971,2.6266394
Grid_Cell_100,2010,0.27521232,329,514.8499,0.008641603,0.095155604,4172.2803,647.05066,0.016761445,55.102272,116.60887,29.380121,2.6032221
Grid_Cell_100,2011,0.27521232,283,502.85114,0.008082056,0.1554989,4550.99,485.7354,0.00706261,61.38691,100.619675,29.464106,3.1851795
Grid_Cell_100,2012,0.2752937,691,557.7186,0.008361814,0.28045216,4360.755,741.5602,0.019113418,55.006657,115.30259,29.59817,3.1561544
Grid_Cell_100,2013,0.27521232,739,519.255,0.007770653,0.09476736,4497.7827,550.43494,0.012966134,55.442974,111.55845,30.352015,3.0629327
Grid_Cell_100,2014,0.27521232,959,464.68848,0.007933811,0.0914571,4502.181,496.422,0.013774417,57.76542,92.84985,30.314478,3.1117697
Grid_Cell_100,2015,0.27521232,955,510.14468,0.007406825,0.09564428,4604.585,544.3837,0.012982826,58.331398,94.02404,29.080591,3.197499
Grid_Cell_100,2016,0.2752937,792,236.2329,0.00766884,0.10171937,4617.241,172.2654,0.002992688,72.453865,54.165318,29.644007,3.1368058
Grid_Cell_100,2017,0.27521232,952,200.96907,0.007441715,0.09993965,4923.285,192.15901,0.002497117,77.91642,27.3289,29.44372,3.5758731
Grid_Cell_100,2018,0.27521232,1402,214.55322,0.007714925,0.10374293,5005.929,214.2234,0.003930137,81.68982,30.608051,29.610193,3.7786794
Grid_Cell_100,2019,0.27521232,1634,258.35712,0.008231314,0.09489005,4843.6562,265.96512,0.005346302,77.848816,32.311172,29.23681,3.8459048
Grid_Cell_100,2020,0.2752937,2854,482.37018,0.008279367,0.08843967,5020.048,684.98816,0.000913,64.17883,98.647934,28.673517,4.166223
